,index,Object,X1,Y1,X2,Y2,MidX,MidY,Z1,Z2,,,,,
0,0,1,864528.6406,1440084.124,864530.5947,1440060.245,864529.6065,1440072.32,-8623.710938,-8623.710938,23.95918881,11.84285049,12.11633832,-0.273487825,MID0
1,1,1,864537.2002,1440095.533,864540.4382,1440050.404,864538.8183,1440072.981,-8611.322266,-8624.300781,45.2445848,22.60936963,22.63521517,-0.025845544,MID1
2,2,1,864545.6626,1440106.812,864550.3988,1440040.447,864548.03,1440073.639,-8611.322266,-8624.300781,66.53409222,33.25780148,33.27629074,-0.018489265,MID2
3,3,1,864549.3319,1440041.514,864565.0496,1440100.47,864557.2418,1440071.183,-8624.300781,-8611.322266,61.01520247,30.70577327,30.30942919,0.396344077,MID3
4,4,1,864547.7791,1440043.066,864585.13,1440081.308,864566.4536,1440062.186,-8624.300781,-8610.788086,53.45625254,26.72669134,26.72956119,-0.00286985,MID4
5,5,1,864556.8865,1440033.961,864594.4458,1440072.419,864575.6653,1440053.189,-8624.300781,-8610.788086,53.7556558,26.8766941,26.87896169,-0.002267589,MID5
6,6,1,864565.993,1440024.858,864603.7632,1440063.528,864584.8771,1440044.192,-8624.300781,-8610.788086,54.05507204,27.02611001,27.02896203,-0.002852025,MID6
7,7,1,864575.1006,1440015.753,864613.0791,1440054.638,864594.0889,1440035.195,-8624.300781,-8610.788086,54.35448177,27.17582967,27.1786521,-0.002822433,MID7
8,8,1,864584.2078,1440006.649,864622.3955,1440045.748,864603.3007,1440026.198,-8624.300781,-8610.788086,54.65389152,27.32554227,27.32834924,-0.002806973,MID8
9,9,1,864593.3166,1439997.544,864631.7073,1440036.863,864612.5124,1440017.204,-8622.24707,-8609.669922,54.95325642,27.47728641,27.47597001,0.001316406,MID9
10,10,1,864602.4191,1439988.444,864641.0313,1440027.966,864621.7242,1440008.204,-8622.24707,-8609.669922,55.25271168,27.62491757,27.62779411,-0.002876533,MID10
11,11,1,864611.5316,1439979.335,864650.3383,1440019.085,864630.936,1439999.211,-8622.24707,-8609.669922,55.55205933,27.77748048,27.77457884,0.002901637,MID11
12,12,1,864620.6322,1439970.237,864659.6653,1440010.185,864640.1477,1439990.21,-8622.24707,-8609.669922,55.8515318,27.92432287,27.92720893,-0.002886064,MID12
13,13,1,864630.5031,1439961.281,864668.2061,1440002.118,864649.3595,1439981.705,-8622.24707,-8609.669922,55.58057785,27.79754842,27.78302942,0.014519002,MID13
14,14,1,864640.711,1439952.777,864676.43,1439995.072,864658.5713,1439973.925,-8623.469727,-8603.268555,55.35934611,27.68087169,27.67847441,0.002397283,MID14
15,15,1,864649.971,1439945.063,864685.5951,1439987.218,864667.783,1439966.141,-8623.469727,-8603.268555,55.19185527,27.59590632,27.59594895,-4.26316E-05,MID15
16,16,1,864659.2378,1439937.343,864694.7535,1439979.371,864676.9948,1439958.356,-8623.469727,-8603.268555,55.02436613,27.51095634,27.5134098,-0.002453463,MID16
17,17,1,864668.5057,1439929.623,864703.9091,1439971.526,864686.2066,1439950.573,-8623.469727,-8597.508789,54.85689085,27.42719588,27.42969497,-0.002499092,MID17
18,18,1,864677.7734,1439921.902,864713.0627,1439963.683,864695.4184,1439942.793,-8623.469727,-8597.508789,54.68943684,27.34517977,27.34425707,0.000922698,MID18
19,19,1,864687.0364,1439914.186,864722.223,1439955.833,864704.6301,1439935.01,-8623.469727,-8597.508789,54.52196341,27.26164656,27.26031685,0.001329714,MID19
20,20,1,864696.3025,1439906.466,864731.3797,1439947.988,864713.8419,1439927.228,-8623.567383,-8597.508789,54.35449546,27.17849939,27.17599607,0.002503317,MID20
21,21,1,864705.5673,1439898.748,864740.5384,1439940.14,864723.0537,1439919.445,-8623.567383,-8597.508789,54.18702047,27.09477502,27.09224546,0.002529561,MID21
22,22,1,864714.833,1439891.029,864749.6963,1439932.293,864732.2654,1439911.662,-8623.567383,-8597.508789,54.01954488,27.01098439,27.00856049,0.002423909,MID22
23,23,1,864724.0983,1439883.311,864758.8552,1439924.445,864741.4772,1439903.878,-8623.567383,-8591.541016,53.85206329,26.92668214,26.92538115,0.001300989,MID23
24,24,1,864733.3658,1439875.591,864768.0105,1439916.6,864750.689,1439896.096,-8623.567383,-8591.541016,53.68459578,26.84356476,26.84103102,0.002533736,MID24
25,25,1,864742.6279,1439867.875,864777.1751,1439908.747,864759.9007,1439888.31,-8623.567383,-8591.541016,53.51709251,26.75735745,26.75973505,-0.002377601,MID25
26,26,1,864751.8981,1439860.152,864786.3284,1439900.904,864769.1125,1439880.527,-8626.40918,-8591.541016,53.34961772,26.67369323,26.67592449,-0.002231253,MID26
27,27,1,864761.1635,1439852.434,864795.4867,1439893.057,864778.3243,1439872.744,-8626.40918,-8591.541016,53.18214071,26.58978407,26.59235664,-0.002572571,MID27
28,28,1,864770.4296,1439844.714,864804.6442,1439885.21,864787.5361,1439864.961,-8626.40918,-8591.541016,53.01466568,26.50603986,26.50862582,-0.002585957,MID28
